Product Name,Brand,Price,Image URL,is_girly
Old Spice High Endurance Deodorant for Men - 3.4oz/2pk,Old Spice,$10.19,https://target.scene7.com/is/image/Target/GUEST_ed3f3cd9-8d93-47ab-a861-ce24cf2008b8?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Outlast Invisible Solid Antiperspirant and Deodorant - Completely Clean - 0.5oz - Trial Size,Secret,$1.89,https://target.scene7.com/is/image/Target/GUEST_e6d24394-b40d-47ff-bc2e-a24ee078d971?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Advanced Care Cool Essentials 72-Hour Antiperspirant & Deodorant Stick - 2.6oz,Dove Beauty,$7.89,https://target.scene7.com/is/image/Target/GUEST_e126a39d-5d05-41e4-862b-a988402a6017?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Men+Care 72-Hour Antiperspirant & Deodorant Stick - Clean Comfort - 2.7oz/2ct,Dove Men+Care,$14.39,https://target.scene7.com/is/image/Target/GUEST_cacde579-181d-4294-80bf-afabe735d632?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Degree Men Ultraclear Black + White Fresh 72-Hour Antiperspirant & Deodorant - 2.7oz,Degree,$4.99,https://target.scene7.com/is/image/Target/GUEST_6886f280-84a6-44ae-8e61-f93f50e36299?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Clinical Strength Invisible Solid Antiperspirant and Deodorant for Women - 2.6oz,Secret,$14.59,https://target.scene7.com/is/image/Target/GUEST_e2f71e83-c4f4-4d19-978b-30e0cf94ffb2?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Old Spice Men's Deep Sea with Ocean Elements Antiperspirant & Deodorant - 2.6oz,Old Spice,$8.89,https://target.scene7.com/is/image/Target/GUEST_6cf93cf1-6a31-4742-a38f-e8502fae9911?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Men+Care 72-Hour Stain Defense Antiperspirant & Deodorant Stick - Clean - 2.7oz,Dove Men+Care,$7.89,https://target.scene7.com/is/image/Target/GUEST_4ffffc22-5948-4ed4-9f68-a7c41a0cdeac?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Clinical Strength Invisible Solid Clean Antiperspirant & Deodorant for Women Lavender,Secret,$14.59,https://target.scene7.com/is/image/Target/GUEST_96afebaf-a2ad-4fde-9b68-8ce1b12e7d8d?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Native Deodorant - Lilac & White Tea - 2.65 oz,Native,$14.59,https://target.scene7.com/is/image/Target/GUEST_e1d9e539-9260-4240-adf3-adf818f82dab?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Original Clean 24-Hour Women's Antiperspirant & Deodorant Stick - 2pc/2.6oz,Dove Beauty,$8.69,https://target.scene7.com/is/image/Target/GUEST_652b2c8c-01b2-4c0a-87b2-b8a819d8b9af?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Native Deodorant & Body Spray - Coconut & Vanilla - Aluminum Free - 3.5 oz,Native,$14.99,https://target.scene7.com/is/image/Target/GUEST_c361a968-577c-4ed1-90d2-50e2eda113ce?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Old Spice Men's Fiji with Palm Tree Antiperspirant & Deodorant - 2.6oz,Old Spice,$8.89 - $15.29,https://target.scene7.com/is/image/Target/GUEST_faf941ee-b266-4b01-94dc-c53209a32716?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Clinical Strength Antiperspirant and Deodorant for Women Soft Solid - Light & Fresh - 2.6oz,Secret,$14.59,https://target.scene7.com/is/image/Target/GUEST_622442af-7cc0-43f2-8617-b8c0b620225d?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Clinical Strength Antiperspirant and Deodorant for Women Soft Solid - Light & Fresh - 2.6oz,Secret,$14.59,https://target.scene7.com/is/image/Target/GUEST_622442af-7cc0-43f2-8617-b8c0b620225d?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Whole Body Aluminum Free Deodorant Spray - Peach & Vanilla - 3.5oz,Secret,$14.59,https://target.scene7.com/is/image/Target/GUEST_4a1dfa0e-47db-4123-b1eb-c61cda63e9fd?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Advanced Care 48-Hour Cool Essentials Antiperspirant & Deodorant Stick - Trial Size - 0.5oz,Dove Beauty,$1.59,https://target.scene7.com/is/image/Target/GUEST_e4afe1d8-39a1-4af6-8e9b-549c2ebac101?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Men+Care 72-Hour Antiperspirant & Deodorant Stick - Extra Fresh,Dove Men+Care,$14.39 - $23.99,https://target.scene7.com/is/image/Target/GUEST_815d0dd9-37ef-4659-96cb-4d77073859fe?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Advanced Care Sheer Fresh 72-Hour Women's Antiperspirant & Deodorant Dry Spray - 3.8oz,Dove Beauty,$8.99,https://target.scene7.com/is/image/Target/GUEST_a8ac5375-d150-46e4-8ba9-b0d5a9bd2a20?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Native Deodorant - Eucalyptus & Mint - Aluminum Free - 2.65 oz,Native,$14.59,https://target.scene7.com/is/image/Target/GUEST_e6aea9b9-2a51-4722-ac1b-e47a71aaa0fe?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Clinical Strength Completely Clean Invisible Solid Antiperspirant & Deodorant,Secret,$11.29 - $14.59,https://target.scene7.com/is/image/Target/GUEST_75cb8d69-52bf-4d80-9617-d4fc1645c556?qlt=65&fmt=pjpeg&hei=350&wid=350,no
