Product Name,Brand,Price,Image URL,is_girly
Schick Women's Intuition Advanced Moisture Women's Razor - Trial Size - 1 Razor Handle and 2 Refills,Schick,$11.79,https://target.scene7.com/is/image/Target/GUEST_e54b606d-3663-4ce6-8b2e-0d7b0e9b631a?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Men's Twin Blade Disposable Razor - 12ct - up&up™,up&up,$7.59,https://target.scene7.com/is/image/Target/GUEST_f76172e3-a108-4e6c-bcd1-75f6d8438dc4?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Schick Hydro Sensitive Razor – 5 Blade Razor for Men with Sensitive Skin - Trial Size – 1 Razor Handle with 3 Razor Refills,Schick,$12.89,https://target.scene7.com/is/image/Target/GUEST_aeff9831-96c3-4bfd-95c2-2f69d1f77de7?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Venus Smooth Value Pack Razor - Handle + 6 Blade Refills,Venus,$23.99,https://target.scene7.com/is/image/Target/GUEST_b732c1e5-cd03-4453-91a2-da415c95379c?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Gillette Mach3 Men's Razor + 2 Razor Blade Refills,Gillette,$10.79,https://target.scene7.com/is/image/Target/GUEST_d677347b-af48-4707-ac10-91420aaef65b?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Schick Hydro Sensitive Razor – 5 Blade Razor for Men with Sensitive Skin - Trial Size – 1 Razor Handle with 3 Razor Refills,Schick,$12.89,https://target.scene7.com/is/image/Target/GUEST_aeff9831-96c3-4bfd-95c2-2f69d1f77de7?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Flamingo Dermaplane Razor - Reusable Facial Razor - 1 Razor Handle - 2 Refill Cartridges,Flamingo,$16.99,https://target.scene7.com/is/image/Target/GUEST_2f966270-313d-494e-bace-f95e9e46122b?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Schick Hydro Silk Dermaplaning Wand - 1 Dermaplaning Tool & 6 Refill Blades,Schick,$23.99,https://target.scene7.com/is/image/Target/GUEST_94b216b7-6ed3-4507-bf94-9299fbdce8b7?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette ProGlide Men's Razor + 2 Razor Blade Refills,Gillette,$16.49,https://target.scene7.com/is/image/Target/GUEST_e980e0fc-ad1b-49b5-9eb8-1c96a926fbdf?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Flamingo Value Pack Non-Disposable Razor with Handle - Lilac - 5ct,Flamingo,$18.49,https://target.scene7.com/is/image/Target/GUEST_2cec9d2b-8079-4440-9566-d209a46bd0a2?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
